"A","Expertise","Moy_Score","Score_TC1","TGains_TC1","Tps_Comp_TC1","Tps_RI_TC1","Tps_Xplo_TC1","TempsAccGooTC1","Tps_Xplr_TC1","SW2a_TC1","SW2b_TC1","Doc_TC1","Req_TC1","FOFG_TC1","FOFD_TC1","FOK_TC1","PM_TC1","Score_TC2","TGains_TC2","Tps_Comp_TC2","Tps_RI_TC2","Tps_Xplo_TC2","TempsAccGooTC2","Tps_Xplr_TC2","SW2a_TC2","SW2b_TC2","Doc_TC2","Req_TC2","FOFG_TC2","FOFD_TC2","FOK_TC2","PM_TC2","Score_TC3","TGains_TC3","Tps_Comp_TC3","Tps_RI_TC3","Tps_Xplo_TC3","TempsAccGooTC3","Tps_Xplr_TC3","SW2a_TC3","SW2b_TC3","Doc_TC3","Req_TC3","FOFG_TC3","FOFD_TC3","FOK_TC3","PM_TC3","Moy_Tps_Xplr","Moy_Tps_Xplo","Moy_Tps_RI","Moy_Tps_Comp","Moy_Tps_Model","Moy_SW2a","Moy_SW2b","Moy_TGains","Moy_Doc","Moy_FOFG","Moy_FOFD","Moy_FOK","Moy_PM","Level_FOFD","Level_FOFG","LG_Moy_Tps_Comp","LG_Moy_Tps_RI","LG_Moy_Tps_Xplr","LG_Moy_Tps_Xplo","LG_Moy_TGains(2)","SW2a_lvl"
"2405_J1sn","novice",1.6666666666666667,2,0.131987065,75643,52680,15153,13096,24431,0,1,1,2,5,5,4,16,1,0.136817622,47985,16895,7309,7821,1765,0,0,1,1,2,1,2,0,2,0.078094494,63352,43082,25610,14971,2501,0,0,1,1,9,7,5,36,9565.66666666667,16024.0,37552.3333333333,62326.6666666667,11962.6666666667,0.0,0.333333333333333,0.115633060333333,1.0,5.33333333333333,4.33333333333333,3.66666666666667,17.3333333333333,"high","hign",4.794673900725087,4.574636927287133,3.980715243005779,4.20477093628552,0.39637513955492526,"low"
"2405_AJ1SN","novice",1.3333333333333333,0,0.0,133493,62416,38824,11810,11782,0,0,1,1,1,3,1,4,2,0.021918529,175156,109209,91247,8412,9550,0,0,3,1,7,7,6,16,2,0.017045794,257392,182285,117331,10167,54787,3,1,5,2,4,7,2,4,25373.0,82467.3333333333,117970.0,188680.333333333,10129.6666666667,1.0,0.333333333333333,0.0129881076666667,3.0,4.0,5.66666666666667,3.0,8.0,"high","hign",5.275726634823501,5.0717715794167555,4.404371819465281,4.9162819514281395,0.271207661909222,"high"
"2405_L1SN","novice",1.0,0,0.0,215998,96100,67015,23105,5980,0,0,1,1,7,3,6,4,2,0.035481124,280891,100688,56368,16430,27890,0,0,1,1,6,3,6,4,1,0.013411118,198190,100997,74565,20880,5552,0,0,1,1,6,3,6,4,13140.6666666667,65982.6666666667,99261.6666666667,231693.0,20138.3333333333,0.0,0.0,0.016297414,1.0,6.33333333333333,3.0,6.0,4.0,"high","hign",5.364912912912563,4.996781563003756,4.118617398885111,4.819429863425385,0.2074934231513549,"low"
"2405_LV1SN","novice",1.0,1,0.015500271,122971,105593,64515,29573,11505,0,0,1,1,4,4,4,9,2,0.028472993,159599,112688,70242,21182,21264,0,0,1,1,3,3,3,4,0,0.0,294486,285444,141378,29745,114321,3,0,3,1,3,2,3,1,49030.0,92045.0,167908.333333333,192352.0,26833.3333333333,1.0,0.0,0.0146577546666667,1.66666666666667,3.33333333333333,3.0,3.33333333333333,4.66666666666667,"high","hign",5.284096706288523,5.225072250818644,4.690461893246178,4.964000202059077,0.20145043499095708,"high"
"2505_AGTCI","novice",1.3333333333333333,1,0.024596616,143118,61422,40656,15381,5385,0,0,1,1,4,6,5,25,1,0.013225764,141546,92557,75610,10804,6143,0,0,1,1,2,5,4,16,2,0.016161486,267990,223693,123751,14323,85619,2,1,3,2,3,4,3,1,32382.3333333333,80005.6666666667,125890.666666667,184218.0,13502.6666666667,0.666666666666667,0.333333333333333,0.017994622,1.66666666666667,3.0,5.0,4.0,14.0,"high","hign",5.265332062987575,5.099993533400814,4.510308138959703,4.90312074842829,0.2719356511382546,"high"
"2505_DGTCI_2","novice",2.0,2,0.112032265,166525,41408,17852,21173,2383,0,0,1,1,3,2,2,1,2,0.018054615,237460,141390,110775,19204,11411,2,0,3,1,2,5,4,4,2,0.011378053,330940,257519,175777,19490,62252,2,0,2,1,3,3,2,1,25348.6666666667,101468.0,146772.333333333,244975.0,19955.6666666667,1.33333333333333,0.0,0.0471549776666667,2.0,2.66666666666667,3.33333333333333,2.66666666666667,2.0,"high","hign",5.389121766339911,5.166644198542876,4.403955120492309,5.006329100233386,0.3994943120912214,"high"
"3105_TB1TCI","novice",1.0,1,0.035300762,69943,56836,28328,10201,18307,1,0,1,1,2,7,3,36,0,0.0,133253,108723,64871,37892,5960,0,0,1,1,3,2,3,1,2,0.016462531,154969,144329,121488,19000,3841,0,0,1,1,1,1,2,0,9369.33333333333,71562.3333333333,103296.0,119388.333333333,22364.3333333333,0.333333333333333,0.0,0.017254431,1.0,2.0,3.33333333333333,2.66666666666667,12.3333333333333,"high","low",5.076961889469139,5.014083504369939,3.9717086901455185,4.854684492561495,0.20598660974410024,"high"
"0106_VQ1ASSP","novice",1.3333333333333333,2,0.093593523,64837,54405,21369,29850,3186,0,1,1,2,2,2,2,1,0,0.0,39131,27018,10723,9027,7268,0,0,1,1,2,2,2,1,2,0.151549595,49768,39496,13197,14684,11615,0,0,1,1,2,2,2,1,7356.33333333333,15096.3333333333,40306.3333333333,51245.3333333333,17853.6666666667,0.0,0.333333333333333,0.0817143726666667,1.0,2.0,2.0,2.0,1.0,"low","low",4.709654322413437,4.605373292186069,3.8666613999498662,4.178871476665953,0.3190654081558671,"low"
"0106_TCV1ASSP","novice",1.3333333333333333,2,0.172503019,72249,50906,11594,35551,3761,0,0,1,1,2,1,1,0,0,0.0,104331,93551,38759,47682,7110,0,0,1,1,2,1,1,0,2,0.061986673,71090,62712,32265,23000,7447,0,0,1,1,1,1,1,0,6106.0,27539.3333333333,69056.3333333333,82556.6666666667,35411.0,0.0,0.0,0.0781632306666667,1.0,1.66666666666667,1.0,1.0,0.0,"low","low",4.916752149429721,4.839203515001336,3.785756799962643,4.439953422734303,0.300303450596158,"low"
"0106_LM1ASSP","novice",0.6666666666666666,2,0.089960417,69425,43111,22232,17805,3074,0,0,1,1,1,1,1,0,0,0.0,40696,19085,11046,6088,1951,0,0,1,1,1,1,1,0,0,0.0,209128,163782,134283,14076,15423,1,0,1,1,2,1,1,0,6816.0,55853.6666666667,75326.0,106416.333333333,12656.3333333333,0.333333333333333,0.0,0.0299868056666667,1.0,1.33333333333333,1.0,1.0,0.0,"low","low",5.027008290855062,4.876944905915911,3.833529581758644,4.74705168883623,0.14043804667947576,"high"
